Accession	Title	Platform	Total bases	Create date	SRA URL	SRA filename	SRA nice filename	FastQ URL	FastQ Aspera URL	FastQ filename	FastQ nice filename
SRR19075263	GSM6102564: Cell Hashing for EOR01; Homo sapiens; RNA-Seq	Illumina NovaSeq 6000	72234	1652155200000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR190/SRR19075263/SRR19075263.sra	SRR19075263.sra	SRR19075263_GSM6102564_Cell_Hashing_for_EOR01_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/063/SRR19075263/SRR19075263_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR190/063/SRR19075263/SRR19075263_1.fastq.gz	SRR19075263_1.fastq.gz	SRR19075263_GSM6102564_Cell_Hashing_for_EOR01_Homo_sapiens_RNA-Seq_1.fastq.gz
SRR19075263	GSM6102564: Cell Hashing for EOR01; Homo sapiens; RNA-Seq	Illumina NovaSeq 6000	72234	1652155200000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR190/SRR19075263/SRR19075263.sra	SRR19075263.sra	SRR19075263_GSM6102564_Cell_Hashing_for_EOR01_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/063/SRR19075263/SRR19075263_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR190/063/SRR19075263/SRR19075263_2.fastq.gz	SRR19075263_2.fastq.gz	SRR19075263_GSM6102564_Cell_Hashing_for_EOR01_Homo_sapiens_RNA-Seq_2.fastq.gz
SRR19075281	GSM6102582: Endometriosis Patient 14 - Ectopic Ovary - bulk; Homo sapiens; RNA-Seq	Illumina NovaSeq 6000	46483	1651809600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR190/SRR19075281/SRR19075281.sra	SRR19075281.sra	SRR19075281_GSM6102582_Endometriosis_Patient_14_-_Ectopic_Ovary_-_bulk_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/081/SRR19075281/SRR19075281.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR190/081/SRR19075281/SRR19075281.fastq.gz	SRR19075281.fastq.gz	SRR19075281_GSM6102582_Endometriosis_Patient_14_-_Ectopic_Ovary_-_bulk_Homo_sapiens_RNA-Seq.fastq.gz
SRR19075252	GSM6102553: Endometriosis Patient 7 - Ectopic; Homo sapiens; RNA-Seq	Illumina NovaSeq 6000	639232	1651809600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR190/SRR19075252/SRR19075252.sra	SRR19075252.sra	SRR19075252_GSM6102553_Endometriosis_Patient_7_-_Ectopic_Homo_sapiens_RNA-Seq.sra	ftp://			SRR19075252_GSM6102553_Endometriosis_Patient_7_-_Ectopic_Homo_sapiens_RNA-Seq
SRR19075255	GSM6102556: Endometriosis Patient 9 - Ectopic Ovary; Homo sapiens; RNA-Seq	Illumina NovaSeq 6000	557035	1651809600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR190/SRR19075255/SRR19075255.sra	SRR19075255.sra	SRR19075255_GSM6102556_Endometriosis_Patient_9_-_Ectopic_Ovary_Homo_sapiens_RNA-Seq.sra	ftp://			SRR19075255_GSM6102556_Endometriosis_Patient_9_-_Ectopic_Ovary_Homo_sapiens_RNA-Seq
SRR21658725	GSM6595260: Endometriosis Patient 9 - Ectopic Adjacent-2; Homo sapiens; RNA-Seq	Illumina NovaSeq 6000	522062	1678251600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR216/SRR21658725/SRR21658725.sra	SRR21658725.sra	SRR21658725_GSM6595260_Endometriosis_Patient_9_-_Ectopic_Adjacent-2_Homo_sapiens_RNA-Seq.sra	ftp://			SRR21658725_GSM6595260_Endometriosis_Patient_9_-_Ectopic_Adjacent-2_Homo_sapiens_RNA-Seq
SRR19075259	GSM6102560: Endometriosis Patient 9 - Eutopic; Homo sapiens; RNA-Seq	Illumina NovaSeq 6000	721734	1651809600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR190/SRR19075259/SRR19075259.sra	SRR19075259.sra	SRR19075259_GSM6102560_Endometriosis_Patient_9_-_Eutopic_Homo_sapiens_RNA-Seq.sra	ftp://			SRR19075259_GSM6102560_Endometriosis_Patient_9_-_Eutopic_Homo_sapiens_RNA-Seq
SRR21658720	GSM6595255: Endometriosis Patient 4 - Ectopic Adjacent; Homo sapiens; RNA-Seq	Illumina NovaSeq 6000	570539	1678251600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR216/SRR21658720/SRR21658720.sra	SRR21658720.sra	SRR21658720_GSM6595255_Endometriosis_Patient_4_-_Ectopic_Adjacent_Homo_sapiens_RNA-Seq.sra	ftp://			SRR21658720_GSM6595255_Endometriosis_Patient_4_-_Ectopic_Adjacent_Homo_sapiens_RNA-Seq
SRR19075251	GSM6102552: Endometriosis Patient 7 - Ectopic Ovary; Homo sapiens; RNA-Seq	Illumina NovaSeq 6000	565568	1651809600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR190/SRR19075251/SRR19075251.sra	SRR19075251.sra	SRR19075251_GSM6102552_Endometriosis_Patient_7_-_Ectopic_Ovary_Homo_sapiens_RNA-Seq.sra	ftp://			SRR19075251_GSM6102552_Endometriosis_Patient_7_-_Ectopic_Ovary_Homo_sapiens_RNA-Seq
SRR19075254	GSM6102555: Endometriosis Patient 8 - Eutopic; Homo sapiens; RNA-Seq	Illumina NovaSeq 6000	654107	1651809600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR190/SRR19075254/SRR19075254.sra	SRR19075254.sra	SRR19075254_GSM6102555_Endometriosis_Patient_8_-_Eutopic_Homo_sapiens_RNA-Seq.sra	ftp://			SRR19075254_GSM6102555_Endometriosis_Patient_8_-_Eutopic_Homo_sapiens_RNA-Seq
SRR19075239	GSM6102540: Endometriosis Patient 2 - Eutopic; Homo sapiens; RNA-Seq	Illumina NovaSeq 6000	777957	1651809600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR190/SRR19075239/SRR19075239.sra	SRR19075239.sra	SRR19075239_GSM6102540_Endometriosis_Patient_2_-_Eutopic_Homo_sapiens_RNA-Seq.sra	ftp://			SRR19075239_GSM6102540_Endometriosis_Patient_2_-_Eutopic_Homo_sapiens_RNA-Seq
SRR19075285	GSM6102586: Endometriosis Patient 16 - Ectopic - bulk; Homo sapiens; RNA-Seq	Illumina NovaSeq 6000	24096	1651809600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR190/SRR19075285/SRR19075285.sra	SRR19075285.sra	SRR19075285_GSM6102586_Endometriosis_Patient_16_-_Ectopic_-_bulk_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/085/SRR19075285/SRR19075285.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR190/085/SRR19075285/SRR19075285.fastq.gz	SRR19075285.fastq.gz	SRR19075285_GSM6102586_Endometriosis_Patient_16_-_Ectopic_-_bulk_Homo_sapiens_RNA-Seq.fastq.gz
SRR19075231	GSM6102532: Control Patient 1 - Control Endometrium; Homo sapiens; RNA-Seq	Illumina NovaSeq 6000	671201	1651809600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR190/SRR19075231/SRR19075231.sra	SRR19075231.sra	SRR19075231_GSM6102532_Control_Patient_1_-_Control_Endometrium_Homo_sapiens_RNA-Seq.sra	ftp://			SRR19075231_GSM6102532_Control_Patient_1_-_Control_Endometrium_Homo_sapiens_RNA-Seq
SRR19075236	GSM6102537: Endometriosis Patient 1 - Eutopic; Homo sapiens; RNA-Seq	Illumina NovaSeq 6000	720798	1651809600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR190/SRR19075236/SRR19075236.sra	SRR19075236.sra	SRR19075236_GSM6102537_Endometriosis_Patient_1_-_Eutopic_Homo_sapiens_RNA-Seq.sra	ftp://			SRR19075236_GSM6102537_Endometriosis_Patient_1_-_Eutopic_Homo_sapiens_RNA-Seq
SRR19075248	GSM6102549: Endometriosis Patient 5 - Eutopic; Homo sapiens; RNA-Seq	Illumina NovaSeq 6000	945620	1651809600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR190/SRR19075248/SRR19075248.sra	SRR19075248.sra	SRR19075248_GSM6102549_Endometriosis_Patient_5_-_Eutopic_Homo_sapiens_RNA-Seq.sra	ftp://			SRR19075248_GSM6102549_Endometriosis_Patient_5_-_Eutopic_Homo_sapiens_RNA-Seq
SRR19075277	GSM6102578: Endometriosis Patient 11 - Ectopic - bulk; Homo sapiens; RNA-Seq	Illumina NovaSeq 6000	26242	1651809600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR190/SRR19075277/SRR19075277.sra	SRR19075277.sra	SRR19075277_GSM6102578_Endometriosis_Patient_11_-_Ectopic_-_bulk_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/077/SRR19075277/SRR19075277.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR190/077/SRR19075277/SRR19075277.fastq.gz	SRR19075277.fastq.gz	SRR19075277_GSM6102578_Endometriosis_Patient_11_-_Ectopic_-_bulk_Homo_sapiens_RNA-Seq.fastq.gz
SRR19075273	GSM6102574: Endometriosis Patient 7 - Ectopic Ovary - bulk; Homo sapiens; RNA-Seq	Illumina NovaSeq 6000	44100	1651809600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR190/SRR19075273/SRR19075273.sra	SRR19075273.sra	SRR19075273_GSM6102574_Endometriosis_Patient_7_-_Ectopic_Ovary_-_bulk_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/073/SRR19075273/SRR19075273.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR190/073/SRR19075273/SRR19075273.fastq.gz	SRR19075273.fastq.gz	SRR19075273_GSM6102574_Endometriosis_Patient_7_-_Ectopic_Ovary_-_bulk_Homo_sapiens_RNA-Seq.fastq.gz
SRR19075270	GSM6102571: Control Patient 7 - Control Endometrium - bulk; Homo sapiens; RNA-Seq	Illumina NovaSeq 6000	22471	1651809600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR190/SRR19075270/SRR19075270.sra	SRR19075270.sra	SRR19075270_GSM6102571_Control_Patient_7_-_Control_Endometrium_-_bulk_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/070/SRR19075270/SRR19075270.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR190/070/SRR19075270/SRR19075270.fastq.gz	SRR19075270.fastq.gz	SRR19075270_GSM6102571_Control_Patient_7_-_Control_Endometrium_-_bulk_Homo_sapiens_RNA-Seq.fastq.gz
SRR19075287	GSM6102588: Endometriosis Patient 17 - Ectopic Ovary - bulk; Homo sapiens; RNA-Seq	Illumina NovaSeq 6000	26562	1651809600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR190/SRR19075287/SRR19075287.sra	SRR19075287.sra	SRR19075287_GSM6102588_Endometriosis_Patient_17_-_Ectopic_Ovary_-_bulk_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/087/SRR19075287/SRR19075287.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR190/087/SRR19075287/SRR19075287.fastq.gz	SRR19075287.fastq.gz	SRR19075287_GSM6102588_Endometriosis_Patient_17_-_Ectopic_Ovary_-_bulk_Homo_sapiens_RNA-Seq.fastq.gz
SRR19075284	GSM6102585: Endometriosis Patient 16 - Ectopic Ovary - bulk; Homo sapiens; RNA-Seq	Illumina NovaSeq 6000	26407	1651809600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR190/SRR19075284/SRR19075284.sra	SRR19075284.sra	SRR19075284_GSM6102585_Endometriosis_Patient_16_-_Ectopic_Ovary_-_bulk_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/084/SRR19075284/SRR19075284.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR190/084/SRR19075284/SRR19075284.fastq.gz	SRR19075284.fastq.gz	SRR19075284_GSM6102585_Endometriosis_Patient_16_-_Ectopic_Ovary_-_bulk_Homo_sapiens_RNA-Seq.fastq.gz
SRR19075245	GSM6102546: Endometriosis Patient 4 - Eutopic; Homo sapiens; RNA-Seq	Illumina NovaSeq 6000	723627	1651809600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR190/SRR19075245/SRR19075245.sra	SRR19075245.sra	SRR19075245_GSM6102546_Endometriosis_Patient_4_-_Eutopic_Homo_sapiens_RNA-Seq.sra	ftp://			SRR19075245_GSM6102546_Endometriosis_Patient_4_-_Eutopic_Homo_sapiens_RNA-Seq
SRR21658722	GSM6595257: Endometriosis Patient 5 - Ectopic Adjacent; Homo sapiens; RNA-Seq	Illumina NovaSeq 6000	508682	1678251600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR216/SRR21658722/SRR21658722.sra	SRR21658722.sra	SRR21658722_GSM6595257_Endometriosis_Patient_5_-_Ectopic_Adjacent_Homo_sapiens_RNA-Seq.sra	ftp://			SRR21658722_GSM6595257_Endometriosis_Patient_5_-_Ectopic_Adjacent_Homo_sapiens_RNA-Seq
SRR21658713	GSM6595248: Endometriosis Patient 1 - Ectopic; Homo sapiens; RNA-Seq	Illumina NovaSeq 6000	666148	1678251600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR216/SRR21658713/SRR21658713.sra	SRR21658713.sra	SRR21658713_GSM6595248_Endometriosis_Patient_1_-_Ectopic_Homo_sapiens_RNA-Seq.sra	ftp://			SRR21658713_GSM6595248_Endometriosis_Patient_1_-_Ectopic_Homo_sapiens_RNA-Seq
SRR19075275	GSM6102576: Endometriosis Patient 9 - Eutopic - bulk; Homo sapiens; RNA-Seq	Illumina NovaSeq 6000	39809	1651809600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR190/SRR19075275/SRR19075275.sra	SRR19075275.sra	SRR19075275_GSM6102576_Endometriosis_Patient_9_-_Eutopic_-_bulk_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/075/SRR19075275/SRR19075275.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR190/075/SRR19075275/SRR19075275.fastq.gz	SRR19075275.fastq.gz	SRR19075275_GSM6102576_Endometriosis_Patient_9_-_Eutopic_-_bulk_Homo_sapiens_RNA-Seq.fastq.gz
SRR19075267	GSM6102568: Control Patient 4 - Control Endometrium - bulk; Homo sapiens; RNA-Seq	Illumina NovaSeq 6000	45043	1651809600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR190/SRR19075267/SRR19075267.sra	SRR19075267.sra	SRR19075267_GSM6102568_Control_Patient_4_-_Control_Endometrium_-_bulk_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/067/SRR19075267/SRR19075267.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR190/067/SRR19075267/SRR19075267.fastq.gz	SRR19075267.fastq.gz	SRR19075267_GSM6102568_Control_Patient_4_-_Control_Endometrium_-_bulk_Homo_sapiens_RNA-Seq.fastq.gz
SRR19075264	GSM6102565: Patient-Derived Organoid - E05/E07/C01/C02; Homo sapiens; RNA-Seq	Illumina NovaSeq 6000	591592	1651809600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR190/SRR19075264/SRR19075264.sra	SRR19075264.sra	SRR19075264_GSM6102565_Patient-Derived_Organoid_-_E05_E07_C01_C02_Homo_sapiens_RNA-Seq.sra	ftp://			SRR19075264_GSM6102565_Patient-Derived_Organoid_-_E05_E07_C01_C02_Homo_sapiens_RNA-Seq
SRR19075261	GSM6102562: Endometriosis Patient 11 - Ectopic Ovary; Homo sapiens; RNA-Seq	Illumina NovaSeq 6000	595620	1651809600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR190/SRR19075261/SRR19075261.sra	SRR19075261.sra	SRR19075261_GSM6102562_Endometriosis_Patient_11_-_Ectopic_Ovary_Homo_sapiens_RNA-Seq.sra	ftp://			SRR19075261_GSM6102562_Endometriosis_Patient_11_-_Ectopic_Ovary_Homo_sapiens_RNA-Seq
